"Asset ID","Asset Class","Park ID","Park Name","Asset Type","Asset Size","Primary Field","Location","Installation Date","Asset Description","Geometry Type","Point","Line","Polygon"
"24174","SEATING","554","Shaughnessy Park","BENCH","N/A","N/A","    (5532934.51007488, 629976.729117839)",,,"POINT","POINT (-97.18878496365835 49.93462473410439)",,
"95336","SWING SET","713","Lambert Park","N/A","2 BAY","N/A","    (5527483.4747645, 638377.627310147)",,,"POINT","POINT (-97.073740280371 49.88373815535236)",,
"73258","SEATING","968","Dalhousie Forest","BENCH","N/A","N/A","    (5517379.41531101, 633226.836773007)",,,"POINT","POINT (-97.14887265298178 49.79407547565538)",,
"84452","SEATING","999","Assiniboine Park","BENCH","N/A","N/A","    (5526087.05754376, 627289.378474978)",,,"POINT","POINT (-97.22847025295233 49.87364548248293)",,
"44553","SWING SET","217","Kapyong Park","N/A","1 BAY","N/A","    (5527224.23879707, 627701.759474315)",,,"POINT","POINT (-97.22235850960627 49.883780824195284)",,
"37718","MONUMENT","455","Senior Citizens Park","COMMEMORATIVE PLAQUE","N/A","N/A","    (5532353.52714844, 635775.749544271)","1962 Jun 18 12:00:00 AM","Lions Club of East Kildonan","POINT","POINT (-97.10822621590863 49.92811240635682)",,
"80058","SEATING","233","Woodhaven Park C.C","BENCH","N/A","N/A","    (5525873.99964277, 624325.735869387)",,,"POINT","POINT (-97.26976461472677 49.8723528154157)",,
"45164","STAND-ALONE PLAY COMPONENT","609","Paulicelli Park","N/A","N/A","N/A","    (5528071.91139323, 641456.025716146)",,,"POINT","POINT (-97.03069922152876 49.88830793082727)",,
"41024","PARKING LOT","1361","Buhler Recreation Park","N/A","N/A","N/A","    (5527245.81674967, 644787.648834843)",,,"POLYGON",,,"MULTIPOLYGON (((-96.98465681763952 49.880085655632215, -96.98463822293361 49.88101437573936, -96.98757725143649 49.88103170721962, -96.9876000185038 49.88009786918518, -96.98755271514284 49.880097579587975, -96.98752861105511 49.88009743201225, -96.98704758950839 49.880099668297014, -96.98700561983868 49.88009997504333, -96.98676051383566 49.8801017661606, -96.9867198394685 49.88009483142389, -96.98669035638522 49.88007952728727, -96.98666458216834 49.88006195199132, -96.9866507500606 49.8800469197164, -96.98664615448845 49.88001258473575, -96.98664906724686 49.87994256798037, -96.9866514038982 49.87991536015523, -96.98665550110005 49.87990375343581, -96.98667252358061 49.8799001049386, -96.98673282732896 49.879898557362786, -96.98673942874906 49.87935370245927, -96.9858998527396 49.87935966962954, -96.98575043955717 49.87936018718459, -96.98567820552563 49.87935893180932, -96.98565213033218 49.879347957051216, -96.98555591186062 49.87934340759569, -96.98555591186062 49.87934340759569, -96.98554465029532 49.87940301001185, -96.98521330387595 49.8793995053449, -96.98519936610384 49.87984288021325, -96.98549698574361 49.87984518378068, -96.98551204549385 49.87984843391719, -96.9855222886871 49.87985629636511, -96.98553433537802 49.87986558816154, -96.98553701106357 49.87986765195799, -96.98554320442226 49.87987757857363, -96.98554540121015 49.87988828954939, -96.98554210759889 49.87989662921265, -96.98553535967997 49.87990732604966, -96.98552299705818 49.879918637794745, -96.98550674439572 49.87992817427872, -96.9854878865322 49.87993681165557, -96.98545384458177 49.87994518510861, -96.985717951084 49.879948921541626, -96.985699696933 49.879943054445185, -96.98568281640792 49.87993593048348, -96.98567460697033 49.879926822660536, -96.98567035859843 49.8799177836787, -96.98566876869168 49.87990836398818, -96.98567963336795 49.87990129531171, -96.98569885988361 49.87989831366706, -96.9865474821128 49.87990346637012, -96.9865534754802 49.8799117623049, -96.98655209921229 49.87999532898311, -96.9865517843476 49.880068287770506, -96.98655172360665 49.8800823622313, -96.9857006234998 49.88007993426983, -96.98568129013498 49.880076066709876, -96.98566704164676 49.880066107294006, -96.98566349653616 49.88005280234004, -96.9856756942979 49.88004228408691, -96.98550350396499 49.88004363016261, -96.98552140126677 49.88005190819247, -96.98553285322598 49.88006140316187, -96.98554251596872 49.88007084770464, -96.985540715367 49.88007949438857, -96.98552947402798 49.88008355699211, -96.98472989864389 49.88008548013279, -96.98465681763952 49.880085655632215), (-96.98555408549147 49.879773728453245, -96.98554673134342 49.87978060382976, -96.98553712422243 49.87978500415321, -96.98552481860136 49.87978631270549, -96.98551069287332 49.87978606718721, -96.98549911140695 49.879781298587126, -96.98549180565519 49.879775690842564, -96.9854874516994 49.879767089535164, -96.98547999312282 49.87969723241714, -96.98547964581243 49.87961501494159, -96.98547999312282 49.87969723241714, -96.98547813021884 49.879481623373366, -96.98549087903183 49.879469665490916, -96.98550521996762 49.87946473847672, -96.98552274290009 49.87946260714819, -96.98553536731878 49.879464957979174, -96.98554637654381 49.87947215252478, -96.98555424403392 49.87948690463432, -96.98555408549147 49.879773728453245), (-96.98554741471092 49.8802049419372, -96.9855572123568 49.880241117069005, -96.98556389686813 49.88085234542887, -96.98555053736672 49.880901778724144, -96.98552792538757 49.88091436117896, -96.98549137535144 49.88092410627911, -96.98545531106544 49.88092218189251, -96.98542136130187 49.88091769915526, -96.98539760631824 49.88090950097296, -96.98538261372747 49.88086606172497, -96.98540630921505 49.88021805990889, -96.98541509100741 49.880200046899034, -96.98545303004892 49.88018740715058, -96.98549722555602 49.880186877845844, -96.98553307152335 49.88019398827209, -96.98554741471092 49.8802049419372), (-96.98655869869653 49.88089853596855, -96.98655176193043 49.88092047375253, -96.98652931203223 49.880929166578035, -96.98650523317434 49.88092874827586, -96.98648722797753 49.880927137936666, -96.98646199884938 49.880917071264065, -96.98645690844286 49.88089024596749, -96.98648748812955 49.88020497665702, -96.9865043045033 49.880198584582175, -96.98652274356209 49.880202915440464, -96.98654492820653 49.8802166692672, -96.98656085535224 49.88023165122845, -96.98656600133454 49.88025714064528, -96.98656461192091 49.880290537589595, -96.98655869869653 49.88089853596855), (-96.98681160178356 49.88091779689517, -96.98677438348027 49.88092693598602, -96.9867200442253 49.880929884741754, -96.98667801410093 49.88092655956027, -96.98665680488008 49.88090543039557, -96.98664918294614 49.88019709084315, -96.98668124013432 49.880179651031995, -96.98668728369998 49.88017636319769, -96.98673510967635 49.88017050974654, -96.98680321974406 49.88017436651043, -96.98683332724161 49.88018576327708, -96.98685061243305 49.88022866343036, -96.9868288629306 49.88090071775381, -96.98681160178356 49.88091779689517), (-96.98572842047581 49.88092173839397, -96.98571193617853 49.88093183228413, -96.98568785733141 49.88093141381229, -96.9856658929918 49.88092843699147, -96.98565417738038 49.88092044810012, -96.9856432173356 49.88089430668824, -96.98565693079088 49.88020911575467, -96.98567151547198 49.880196394449584, -96.98569765307967 49.880195551228546, -96.98571766345901 49.88019719647201, -96.98573243816396 49.880207845768744, -96.98574649468372 49.8809035255972, -96.98572842047581 49.88092173839397), (-96.98572993811578 49.879777089233606, -96.985717480539 49.87978204900705, -96.9856960893278 49.879786549031586, -96.98567959031429 49.87978671901783, -96.98565135555967 49.879774505565784, -96.98565126543458 49.87948798191458, -96.98566543943467 49.87947574429588, -96.98568934940958 49.87946732972374, -96.98570672037427 49.87946884956805, -96.98572204329808 49.879474292144984, -96.98573196163468 49.8794823694471, -96.98573799983282 49.87949200361224, -96.98572993811578 49.879777089233606)))"
"41286","SANDBOX","276","Uplands Crescent Park","N/A","N/A","N/A","    (5528255.67187812, 623427.687503151)",,,"POLYGON",,,"MULTIPOLYGON (((-97.28149661938507 49.89395029777696, -97.28154780642302 49.893951197121766, -97.28154895014347 49.893918998802754, -97.28149755853129 49.89391786365248, -97.28149661938507 49.89395029777696)))"
"131119","STAND-ALONE PLAY COMPONENT","121","McDermot Lane Park","N/A","N/A","N/A","    (5528872.16239445, 633736.806350146)",,,"POINT","POINT (-97.13782484420672 49.89727671087775)",,
"82551","FITNESS EQUIPMENT","1061","John H. Coulter Park","FITNESS STRUCTURE","N/A","N/A","    (5530995.31230085, 639489.320293827)",,,"POINT","POINT (-97.05700674190125 49.915048137895226)",,
"23586","SEATING","311","Neville-Margate Tot Lot","BENCH","N/A","N/A","    (5534715.38623696, 630597.099678503)",,,"POINT","POINT (-97.17954136329668 49.95049881062666)",,
"122528","SEATING","244","Living Prairie Museum","ROCK","N/A","N/A","    (5527959.88104338, 624131.206252935)",,,"POINT","POINT (-97.27180110572611 49.891145550329185)",,
"46790","PLAY STRUCTURE","456","Bronx Park C.C","2 TO 5","SMALL","N/A","    (5532233.19518229, 635987.368098959)",,,"POINT","POINT (-97.10532183963048 49.92698259400903)",,
"94393","SEATING","954","St. Norbert C.C","PLAYERS BENCH","N/A","N/A","    (5514524.34743382, 632875.518712447)",,,"POINT","POINT (-97.15472675176201 49.76848706120619)",,
"122416","SEATING","386","Michaëlle Jean Park / Norquay C.C","BENCH","N/A","N/A","    (5530424.435303, 634411.342210338)",,,"POINT","POINT (-97.12789764421663 49.91107953447006)",,
"23904","SEATING","555","Maple Leaf Park","BENCH","N/A","N/A","    (5529425.20950521, 642895.602994791)",,,"POINT","POINT (-97.01017031909237 49.90013042804881)",,
